"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","2/52","96/4383",0.316008704355401,0.677668407539751,0.611430142141129,"CD63/CTSC",2
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","2/52","100/4383",0.333577991950604,0.677668407539751,0.611430142141129,"SCD/HPGD",2
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","1/52","36/4383",0.350396913517803,0.677668407539751,0.611430142141129,"APP",1
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","2/52","113/4383",0.389725868167922,0.677668407539751,0.611430142141129,"DNAJA4/HSPA9",2
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","3/52","200/4383",0.425962999024986,0.677668407539751,0.611430142141129,"HMOX1/SDC2/PLIN2",3
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","3/52","200/4383",0.425962999024986,0.677668407539751,0.611430142141129,"PVR/MSR1/HRH1",3
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","3/52","200/4383",0.425962999024986,0.677668407539751,0.611430142141129,"NUPR1/APP/HMOX1",3
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","2/52","144/4383",0.514298516966419,0.782628177992377,0.706130686910416,"RND3/SDC2",2
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","1/52","74/4383",0.589619368547569,0.834458496008281,0.752894883616494,"SCD",1
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","1/52","97/4383",0.689830655846046,0.834458496008281,0.752894883616494,"OASL",1
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","2/52","199/4383",0.691763444408227,0.834458496008281,0.752894883616494,"TTC39B/PLIN2",2
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","2/52","200/4383",0.694448297391896,0.834458496008281,0.752894883616494,"SERPING1/OASL",2
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","2/52","200/4383",0.694448297391896,0.834458496008281,0.752894883616494,"IGFBP2/SCGB1A1",2
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","2/52","200/4383",0.694448297391896,0.834458496008281,0.752894883616494,"HSPD1/HSPE1",2
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","1/52","104/4383",0.71525013943567,0.834458496008281,0.752894883616494,"SCGB1A1",1
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","1/52","199/4383",0.912026677421394,0.913120036115009,0.823867701757903,"FGD4",1
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","1/52","200/4383",0.913120036115009,0.913120036115009,0.823867701757903,"MMP2",1
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","1/52","200/4383",0.913120036115009,0.913120036115009,0.823867701757903,"SDC2",1
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","1/52","200/4383",0.913120036115009,0.913120036115009,0.823867701757903,"MGST3",1
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","1/52","200/4383",0.913120036115009,0.913120036115009,0.823867701757903,"RBP4",1
