"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_MYELOID_LEUKOCYTE_MIGRATION","GOBP_MYELOID_LEUKOCYTE_MIGRATION","GOBP_MYELOID_LEUKOCYTE_MIGRATION","17/201","230/17872",9.92920416214771e-10,2.69261963778969e-07,1.93358186315508e-07,"IL1B/CCL4/FPR2/IL1A/CXCL2/THBS1/RHOH/SLAMF1/CXCL3/PDE4B/ADGRE2/CCL20/DUSP1/CCL3/CXCL8/TNFAIP6/FLT1",17
"GOBP_LEUKOCYTE_CHEMOTAXIS","GOBP_LEUKOCYTE_CHEMOTAXIS","GOBP_LEUKOCYTE_CHEMOTAXIS","17/201","236/17872",1.47336644006303e-09,3.66254340892334e-07,2.63008833818268e-07,"IL1B/CCL4/FPR2/CXCL2/THBS1/SLAMF1/CXCL3/PDE4B/ADGRE2/GPR183/CCL20/DUSP1/CH25H/CCL3/CXCL8/TNFAIP6/FLT1",17
"GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY","GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY","GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY","10/201","62/17872",1.67335248789077e-09,3.7313559059735e-07,2.67950289135136e-07,"IL1B/TNFAIP3/NFKBIA/HCK/IRAK2/CD55/TNF/CCL3/PRKCE/TLR4",10
"GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","13/201","126/17872",1.7512230199004e-09,3.7313559059735e-07,2.67950289135136e-07,"TNFAIP3/PELI1/NFKBIA/IRAK3/BIRC3/IRAK2/TNIP3/TNF/PIK3AP1/PRKCE/TNIP1/IRF1/TLR4",13
"GOBP_GRANULOCYTE_MIGRATION","GOBP_GRANULOCYTE_MIGRATION","GOBP_GRANULOCYTE_MIGRATION","14/201","154/17872",2.17955586434221e-09,4.3344100955552e-07,3.1125587255694e-07,"IL1B/CCL4/IL1A/CXCL2/THBS1/RHOH/SLAMF1/CXCL3/PDE4B/ADGRE2/CCL20/CCL3/CXCL8/TNFAIP6",14
"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","22/201","425/17872",2.79021745407248e-09,5.20201166593637e-07,3.73558718357729e-07,"TNFAIP3/PELI1/SAMSN1/IRAK3/SERPINB9/HCK/THBS1/SCGB1A1/SLAMF1/BCL6/LDLR/DUSP1/CD55/TNF/CCL3/PTPN2/PAG1/SDC4/TNFAIP6/IRF1/IL2RA/TLR4",22
"GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1","GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1","GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1","12/201","110/17872",3.95449022440208e-09,6.93896725846554e-07,4.98290254282244e-07,"IL1B/IRAK3/CCL4/NFKB1/IL1R2/IL1RN/IRAK2/CCL20/CCL3/CXCL8/GBP2/EGR1",12
"GOBP_RESPONSE_TO_INTERFERON_GAMMA","GOBP_RESPONSE_TO_INTERFERON_GAMMA","GOBP_RESPONSE_TO_INTERFERON_GAMMA","13/201","139/17872",5.87659692358702e-09,9.73882701281116e-07,6.99349399970737e-07,"CCL4/GCH1/HCK/CCL20/TNF/CCL3/PTPN2/KYNU/GBP2/IRF1/CD58/TLR4/MEFV",13
"GOBP_ERK1_AND_ERK2_CASCADE","GOBP_ERK1_AND_ERK2_CASCADE","GOBP_ERK1_AND_ERK2_CASCADE","19/201","341/17872",1.09896878022259e-08,1.72538098494947e-06,1.23900358324265e-06,"IL1B/CCL4/CFLAR/FPR2/IL1A/PTPN1/CD44/SLAMF1/PTEN/GPR183/RAPGEF2/CCL20/ICAM1/TNF/CCL3/PTPN2/TNIP1/DUSP6/TLR4",19
"GOBP_CELL_CHEMOTAXIS","GOBP_CELL_CHEMOTAXIS","GOBP_CELL_CHEMOTAXIS","18/201","315/17872",1.84879346275403e-08,2.75747544969764e-06,1.98015510352866e-06,"IL1B/CCL4/FPR2/CXCL2/THBS1/SLAMF1/CXCL3/PDE4B/ADGRE2/GPR183/CCL20/DUSP1/CH25H/CCL3/CXCL8/TNFAIP6/CCRL2/FLT1",18
"GOBP_GRANULOCYTE_CHEMOTAXIS","GOBP_GRANULOCYTE_CHEMOTAXIS","GOBP_GRANULOCYTE_CHEMOTAXIS","12/201","127/17872",2.04628343338956e-08,2.90669689609575e-06,2.08731167265552e-06,"IL1B/CCL4/CXCL2/THBS1/SLAMF1/CXCL3/PDE4B/ADGRE2/CCL20/CCL3/CXCL8/TNFAIP6",12
"GOBP_RESPONSE_TO_PEPTIDE","GOBP_RESPONSE_TO_PEPTIDE","GOBP_RESPONSE_TO_PEPTIDE","22/201","494/17872",4.21012820449211e-08,5.70855110636362e-06,4.09933535700548e-06,"IL1B/TNFAIP3/NFKBIA/CFLAR/NFKB1/FPR2/AREG/PTPN1/EREG/INSR/ICAM1/TNF/PTPN2/ADM/NFE2L2/PTGS2/NAMPT/STAT3/BTG2/TLR4/CCND3/EGR1",22
"GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION","6/201","19/17872",4.51080872973696e-08,5.85032280035015e-06,4.20114222655135e-06,"IRAK3/NFKB1/THBS1/SLAMF1/LILRA5/MEFV",6
"GOBP_REGULATION_OF_CELL_CELL_ADHESION","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GOBP_REGULATION_OF_CELL_CELL_ADHESION","21/201","458/17872",5.32541071738719e-08,6.61904173748583e-06,4.75316263591357e-06,"NLRP3/IL1B/PELI1/ZBTB16/NFKBIZ/IL1A/CD44/SCGB1A1/RHOH/SLAMF1/IL1RN/BCL6/CD55/TNF/PTPN2/NFAT5/PAG1/SDC4/HLA-DQA2/IRF1/IL2RA",21
"GOBP_RESPONSE_TO_INTERLEUKIN_1","GOBP_RESPONSE_TO_INTERLEUKIN_1","GOBP_RESPONSE_TO_INTERLEUKIN_1","12/201","140/17872",6.10612513834968e-08,7.28582851507884e-06,5.23198511854383e-06,"IL1B/IRAK3/CCL4/NFKB1/IL1R2/IL1RN/IRAK2/CCL20/CCL3/CXCL8/GBP2/EGR1",12
"GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY","GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY","GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY","21/201","479/17872",1.13466447756026e-07,1.30180928329317e-05,9.34834903576972e-06,"TNFAIP3/PELI1/NFKBIA/IRAK3/NFKBIZ/FPR2/LCP2/HCK/BIRC3/PDE4B/IRAK2/TNIP3/TNF/PIK3AP1/PTPN2/PRKCE/TNIP1/IRF1/FPR1/TLR4/PRKCH",21
"GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","13/201","180/17872",1.29512156251375e-07,1.4308694892513e-05,1.02751359832962e-05,"TNFAIP3/PELI1/NFKBIA/IRAK3/BIRC3/IRAK2/TNIP3/TNF/PIK3AP1/PRKCE/TNIP1/IRF1/TLR4",13
"GOBP_NEUTROPHIL_MIGRATION","GOBP_NEUTROPHIL_MIGRATION","GOBP_NEUTROPHIL_MIGRATION","11/201","128/17872",2.1406839013708e-07,2.28059288492468e-05,1.63770366138706e-05,"IL1B/CCL4/IL1A/CXCL2/RHOH/CXCL3/PDE4B/CCL20/CCL3/CXCL8/TNFAIP6",11
"GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","14/201","223/17872",2.39022380604778e-07,2.45863365980708e-05,1.76555551553801e-05,"CCL4/CFLAR/FPR2/IL1A/CD44/SLAMF1/PTEN/GPR183/RAPGEF2/CCL20/ICAM1/TNF/CCL3/TLR4",14
"GOBP_REGULATION_OF_T_CELL_ACTIVATION","GOBP_REGULATION_OF_T_CELL_ACTIVATION","GOBP_REGULATION_OF_T_CELL_ACTIVATION","17/201","342/17872",3.43262458764937e-07,3.41317304831936e-05,2.45101439854964e-05,"NLRP3/IL1B/PELI1/ZBTB16/NFKBIZ/IL1A/SCGB1A1/RHOH/SLAMF1/BCL6/CD55/PTPN2/PAG1/SDC4/HLA-DQA2/IRF1/IL2RA",17
"GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION","19/201","429/17872",4.03967988013183e-07,3.88721454272041e-05,2.79142565571079e-05,"NLRP3/IL1B/PELI1/ZBTB16/NFKBIZ/IL1A/THBS1/RHOH/SLAMF1/BCL6/GPR183/CD55/TNF/CCL3/HLA-DQA2/IL2RA/PLEK/LILRA5/TLR4",19
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","8/201","62/17872",4.47506439009926e-07,4.10383918833411e-05,2.94698475510698e-05,"NLRP3/TNF/CCL3/STAT3/LILRA5/TLR4/MEFV/EGR1",8
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","20/201","476/17872",4.53994948759723e-07,4.10383918833411e-05,2.94698475510698e-05,"NLRP3/IL1B/PELI1/IRAK3/IL1A/THBS1/EREG/SLAMF1/PDE4B/CD55/TNF/CCL3/PTGS2/STAT3/IRF1/CD58/LILRA5/TLR4/MEFV/EGR1",20
"GOBP_INTERLEUKIN_12_PRODUCTION","GOBP_INTERLEUKIN_12_PRODUCTION","GOBP_INTERLEUKIN_12_PRODUCTION","8/201","63/17872",5.07695997408138e-07,4.45428576549552e-05,3.19864196509462e-05,"IRAK3/NFKB1/THBS1/SLAMF1/IRF1/LILRA5/TLR4/MEFV",8
"GOBP_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY","GOBP_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY","GOBP_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY","7/201","44/17872",5.52219482673895e-07,4.70648776233208e-05,3.37974931501166e-05,"TNFAIP3/PELI1/NFKBIA/TNIP3/PIK3AP1/PRKCE/TLR4",7
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY","18/201","397/17872",5.89784574432911e-07,4.88702051537048e-05,3.50939066950577e-05,"IL1B/ACSL1/LCP2/AREG/PTPN1/THBS1/EREG/INSR/RAPGEF2/TNF/AKAP13/SDC4/SNX9/FLT1/LILRA5/TLR4/CCND3/EGR1",18
"GOBP_RESPONSE_TO_OXYGEN_LEVELS","GOBP_RESPONSE_TO_OXYGEN_LEVELS","GOBP_RESPONSE_TO_OXYGEN_LEVELS","16/201","320/17872",7.12438599481443e-07,5.74379551960309e-05,4.12464452331362e-05,"SOD2/CFLAR/PMAIP1/IL1A/THBS1/PTEN/HIPK2/TNF/PLK3/PRKCE/ADM/NFE2L2/PTGS2/KCNMA1/BACH1/EGR1",16
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","14/201","245/17872",7.46758267077747e-07,5.86205239656031e-05,4.20956530056292e-05,"NLRP3/IL1B/ZBTB16/NFKBIZ/IL1A/CD44/RHOH/SLAMF1/BCL6/CD55/TNF/NFAT5/HLA-DQA2/IL2RA",14
"GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA","GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA","GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA","10/201","117/17872",8.12424267347078e-07,6.21400407563163e-05,4.46230333077275e-05,"CCL4/HCK/CCL20/TNF/CCL3/PTPN2/GBP2/IRF1/CD58/TLR4",10
"GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY","GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY","GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY","6/201","30/17872",8.90459592876223e-07,6.64060241387443e-05,4.76864545132398e-05,"IL1B/IRAK3/IL1R2/IL1RN/IRAK2/EGR1",6
"GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION","GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION","GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION","13/201","219/17872",1.22554333419688e-06,8.91657503880316e-05,6.40303128392979e-05,"CCL4/FPR2/IL1A/THBS1/RHOH/SLAMF1/CCL20/DUSP1/ICAM1/TNF/CCL3/CXCL8/TNFAIP6",13
"GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","12/201","188/17872",1.48878058074971e-06,0.000105738868389914,7.59315408978864e-05,"IL1B/PELI1/CFLAR/IL1A/BIRC3/TNF/PRKCE/REL/AKAP13/LITAF/TLR4/SLC44A2",12
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","8/201","73/17872",1.60074200934553e-06,0.000111046823578552,7.97432065855117e-05,"NLRP3/TNF/CCL3/STAT3/LILRA5/TLR4/MEFV/EGR1",8
"GOBP_RESPONSE_TO_CORTICOSTEROID","GOBP_RESPONSE_TO_CORTICOSTEROID","GOBP_RESPONSE_TO_CORTICOSTEROID","11/201","157/17872",1.65731198469731e-06,0.000112358219326183,8.068492557079e-05,"CFLAR/ZFP36/AREG/SCGB1A1/IL1RN/KLF9/TNF/ADM/PTGS2/MT-ND3/EIF4E",11
"GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY","19/201","477/17872",1.97039246729134e-06,0.000130615127331779,9.37952905482542e-05,"IL1B/FPR2/ACSL1/LCP2/AREG/PTPN1/THBS1/EREG/INSR/RAPGEF2/TNF/AKAP13/SDC4/SNX9/FLT1/LILRA5/TLR4/CCND3/EGR1",19
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","13/201","230/17872",2.11757181384669e-06,0.00013571161953048,9.74551037438565e-05,"TNFAIP3/IRAK3/FPR2/SERPINB9/HCK/BIRC3/PTPN1/EREG/N4BP1/PTPN2/NFE2L2/IRF1/TLR4",13
"GOBP_INTERLEUKIN_1_PRODUCTION","GOBP_INTERLEUKIN_1_PRODUCTION","GOBP_INTERLEUKIN_1_PRODUCTION","10/201","130/17872",2.13826554406054e-06,0.00013571161953048,9.74551037438565e-05,"NLRP3/TNFAIP3/IL1R2/TNF/CCL3/STAT3/LILRA5/TLR4/MEFV/EGR1",10
"GOBP_MYELOID_LEUKOCYTE_ACTIVATION","GOBP_MYELOID_LEUKOCYTE_ACTIVATION","GOBP_MYELOID_LEUKOCYTE_ACTIVATION","13/201","234/17872",2.5630384479877e-06,0.000159282160215569,0.000114381211439802,"FPR2/LCP2/THBS1/RHOH/SLAMF1/LDLR/IFNGR2/ADGRE2/TNF/CCL3/PRKCE/CXCL8/TLR4",13
"GOBP_MONONUCLEAR_CELL_MIGRATION","GOBP_MONONUCLEAR_CELL_MIGRATION","GOBP_MONONUCLEAR_CELL_MIGRATION","12/201","199/17872",2.698886655817e-06,0.000164301610087798,0.000117985700205963,"CCL4/FPR2/THBS1/SLAMF1/GPR183/CCL20/DUSP1/CH25H/ICAM1/TNF/CCL3/FLT1",12
"GOBP_NEUTROPHIL_CHEMOTAXIS","GOBP_NEUTROPHIL_CHEMOTAXIS","GOBP_NEUTROPHIL_CHEMOTAXIS","9/201","105/17872",2.84956965603355e-06,0.000170005325678962,0.00012208156315849,"IL1B/CCL4/CXCL2/CXCL3/PDE4B/CCL20/CCL3/CXCL8/TNFAIP6",9
"GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","18/201","446/17872",3.09133186639464e-06,0.000180812607008926,0.000129842318846503,"NLRP3/IL1B/ZBTB16/NFKBIZ/IL1A/CD44/RHOH/SLAMF1/FMN1/BCL6/RIN2/CD55/TNF/NFAT5/PRKCE/SDC4/HLA-DQA2/IL2RA",18
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION","16/201","365/17872",3.94034541529729e-06,0.000226039430265996,0.000162319897168623,"NLRP3/TNFAIP3/IRAK3/NFKB1/IL1R2/ZFP36/THBS1/SCGB1A1/SLAMF1/N4BP1/BCL6/TNF/REL/LILRA5/TLR4/MEFV",16
"GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","16/201","367/17872",4.22438380758456e-06,0.000237761073547637,0.000170737260147658,"IL1B/TNFAIP3/SOD2/CFLAR/PMAIP1/IL1A/PTPN1/CD44/THBS1/PTEN/ICAM1/TNF/PTPN2/TRAF1/NFE2L2/PTGS2",16
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","10/201","141/17872",4.45338358964606e-06,0.000246008208294707,0.000176659563448923,"CCL4/FPR2/IL1A/THBS1/SLAMF1/CCL20/ICAM1/TNF/CCL3/CXCL8",10
"GOBP_FEVER_GENERATION","GOBP_FEVER_GENERATION","GOBP_FEVER_GENERATION","4/201","11/17872",4.81731287191432e-06,0.00026127353267128,0.000187621659221926,"IL1B/IL1A/TNF/PTGS2",4
"GOBP_REGULATION_OF_HEMOPOIESIS","GOBP_REGULATION_OF_HEMOPOIESIS","GOBP_REGULATION_OF_HEMOPOIESIS","16/201","374/17872",5.36890939523388e-06,0.000285990298678262,0.000205370876302649,"NLRP3/NFKBIA/ZBTB16/NFKBIZ/ZFP36/RHOH/BCL6/RBFOX2/TNF/CCL3/PTPN2/TNFAIP6/STAT3/IRF1/IL2RA/TLR4",16
"GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","14/201","291/17872",5.61732923692769e-06,0.000293973563399216,0.000211103693391465,"NLRP3/IL1B/ZBTB16/NFKBIZ/IL1A/CD44/RHOH/SLAMF1/BCL6/CD55/TNF/NFAT5/HLA-DQA2/IL2RA",14
"GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","10/201","145/17872",5.71874845330107e-06,0.00029412114889995,0.000211209675180902,"IL1B/NFKBIA/NFKBIZ/LDLR/TNF/CCL3/PTGS2/TNIP1/LILRA5/TLR4",10
"GOBP_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","5/201","24/17872",6.11487622667342e-06,0.00030916399634181,0.000222012009300275,"IRAK3/IRAK2/TNIP1/IRF1/TLR4",5
"GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION","13/201","254/17872",6.28656090263635e-06,0.000312546852876071,0.000224441253278333,"IL1B/TNFAIP3/PELI1/IL1A/SCGB1A1/SLAMF1/BCL6/GPR183/CD55/SDC4/IRF1/IL2RA/TLR4",13
