"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE","GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE","GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE","8/171","123/17872",2.41264868202654e-05,0.00269708726348652,0.00229101376232327,"GPX1/APOE/S100A9/TXNDC17/CD36/SELENOT/GSTP1/MGST3",8
"GOBP_NCRNA_PROCESSING","GOBP_NCRNA_PROCESSING","GOBP_NCRNA_PROCESSING","14/171","393/17872",2.61173243402935e-05,0.00270651752956521,0.0022990242073916,"RPS15/NOP10/RPS25/RPS14/RPL7A/RPL27/RPS6/RPL35A/USP36/RPL10A/RPL11/RPL7/PTCD1/RPS19",14
"GOBP_RIBOSOME_ASSEMBLY","GOBP_RIBOSOME_ASSEMBLY","GOBP_RIBOSOME_ASSEMBLY","6/171","62/17872",2.77237162145649e-05,0.00270651752956521,0.0022990242073916,"RPS15/RPS14/RPL3/RPS5/RPL11/RPS19",6
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","4/171","19/17872",2.80336090632931e-05,0.00270651752956521,0.0022990242073916,"RPS15/RPS14/RPS5/RPS19",4
"GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS","GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS","GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS","11/171","251/17872",3.07871488445064e-05,0.00284312626720573,0.0024150651313265,"CD63/APOE/ITGB2/APOC1/FCER1G/CD14/AP2S1/CD36/EZR/PPT1/CD9",11
"GOBP_ELECTRON_TRANSPORT_CHAIN","GOBP_ELECTRON_TRANSPORT_CHAIN","GOBP_ELECTRON_TRANSPORT_CHAIN","9/171","167/17872",3.34261375559294e-05,0.00295821317369975,0.00251282455135364,"CYBA/COX5B/COX7C/COX4I1/COX6A1/UQCRB/UQCR10/NDUFB10/NDUFA4",9
"GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","7/171","95/17872",3.53617831401002e-05,0.00300433709558291,0.0025520040548266,"TYROBP/VAMP8/GRN/PYCARD/ITGB2/FCER1G/STXBP2",7
"GOBP_CELLULAR_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS","4/171","21/17872",4.2644993386204e-05,0.00348376792124221,0.00295925176777141,"ITGB2/FCER1G/CD36/CD9",4
"GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION","GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION","GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION","4/171","22/17872",5.17337440297846e-05,0.00399986649606396,0.00339764653298326,"CYBA/TYROBP/ITGB2/GSTP1",4
"GOBP_PROTEIN_TARGETING","GOBP_PROTEIN_TARGETING","GOBP_PROTEIN_TARGETING","12/171","315/17872",5.27289368596002e-05,0.00399986649606396,0.00339764653298326,"TSPO/SRP14/ITGB2/USP36/RPL11/GABARAP/HSPA8/NACA/HSP90AA1/SEC62/ZFYVE16/YWHAB",12
"GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","6/171","71/17872",6.01628521661297e-05,0.00440641027589171,0.00374298107487283,"CYBA/TYROBP/TSPO/ITGB2/CD36/GSTP1",6
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","6/171","72/17872",6.51169328821867e-05,0.0044946560618742,0.00381794057391831,"RPL7A/RPL3/RPL35A/RPL10A/RPL11/RPL7",6
"GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","13/171","374/17872",6.55999707712335e-05,0.0044946560618742,0.00381794057391831,"TMSB4X/TMSB10/GPX1/PFN1/RPS3/PFDN5/APOE/PYCARD/GMFG/HSPA8/ACTG1/ARPC2/CAPG",13
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","6/171","73/17872",7.03913713919905e-05,0.00467222727614337,0.00396877666335104,"RPS15/RPS25/RPS14/RPS6/RPS5/RPS19",6
"GOBP_CELLULAR_RESPIRATION","GOBP_CELLULAR_RESPIRATION","GOBP_CELLULAR_RESPIRATION","10/171","231/17872",7.86873533480086e-05,0.00506460419730819,0.00430207730904264,"HIF1A/COX5B/ATP5MG/COX7C/COX4I1/COX6A1/UQCRB/UQCR10/NDUFB10/NDUFA4",10
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","15/171","494/17872",8.31660625156452e-05,0.0051954328465656,0.00441320839479306,"CYBA/HIF1A/COX5B/ATP5MG/COX7C/TKT/COX4I1/COX6A1/UQCRB/TALDO1/UQCR10/ALDOA/NDUFB10/TPI1/NDUFA4",15
"GOBP_DETOXIFICATION","GOBP_DETOXIFICATION","GOBP_DETOXIFICATION","8/171","150/17872",9.90240254514313e-05,0.00600934371596686,0.00510457683078957,"GPX1/APOE/S100A9/TXNDC17/CD36/SELENOT/GSTP1/MGST3",8
"GOBP_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL","GOBP_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL","GOBP_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL","10/171","245/17872",0.000127856932057029,0.0075435589913647,0.00640780062999262,"RPS15/RPS2/HIF1A/TSPO/RPS3/RPS20/RPL11/GABARAP/HSP90AA1/MALT1",10
"GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY","3/171","12/17872",0.000177703880082039,0.010201163278223,0.00866527597327497,"RPS15/RPS20/RPL11",3
"GOBP_TRANSLATIONAL_ELONGATION","GOBP_TRANSLATIONAL_ELONGATION","GOBP_TRANSLATIONAL_ELONGATION","5/171","56/17872",0.000194719025753565,0.0108837687026466,0.00924510831417204,"RPLP1/EEF1G/RACK1/EEF1B2/SELENOT",5
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","14/171","476/17872",0.000200531229798957,0.0109212392844355,0.00927693732457253,"CYBA/TYROBP/HIF1A/RPS3/AIF1/PYCARD/FCER1G/CD14/SULF2/HSP90AA1/FCN1/CD36/MNDA/MALT1",14
"GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","8/171","168/17872",0.000216478177936421,0.011494991248424,0.00976430518376383,"TMSB4X/TMSB10/PFN1/PFDN5/APOE/GMFG/HSPA8/CAPG",8
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE","5/171","58/17872",0.000230009405803687,0.0119156092177324,0.0101215949049427,"TYROBP/PYCARD/HSP90AA1/FCN1/MNDA",5
"GOBP_INTERLEUKIN_1_PRODUCTION","GOBP_INTERLEUKIN_1_PRODUCTION","GOBP_INTERLEUKIN_1_PRODUCTION","7/171","130/17872",0.00025560336211081,0.0129262271696038,0.0109800542019531,"TYROBP/PYCARD/CD36/CARD16/MNDA/GSTP1/MALT1",7
"GOBP_NEUTROPHIL_DEGRANULATION","GOBP_NEUTROPHIL_DEGRANULATION","GOBP_NEUTROPHIL_DEGRANULATION","3/171","14/17872",0.000289904232795507,0.0139944679649468,0.0118874606462081,"VAMP8/ITGB2/STXBP2",3
"GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS","GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS","GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS","3/171","14/17872",0.000289904232795507,0.0139944679649468,0.0118874606462081,"APOE/HSPA8/CFL1",3
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","12/171","379/17872",0.000297211623734618,0.014028388640274,0.0119162742241201,"TYROBP/RPS3/PYCARD/FCER1G/CFD/HSP90AA1/FCN1/EZR/C1QB/MNDA/C1QC/MALT1",12
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","5/171","62/17872",0.000314982336721249,0.0145439670259985,0.0123542271199135,"TYROBP/PYCARD/CD36/MNDA/MALT1",5
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","8/171","179/17872",0.000332556311870736,0.0150287150300733,0.0127659914568072,"CYBA/TYROBP/GRN/PYCARD/HSP90AA1/FCN1/MNDA/RPS19",8
"GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION","3/171","15/17872",0.000359837202932082,0.0158418812096513,0.0134567273234921,"LGALS1/TMEM176B/TMEM176A",3
"GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","5/171","64/17872",0.000365467127717943,0.0158418812096513,0.0134567273234921,"DDAH2/TSPO/AIF1/HSP90AA1/CD36",5
"GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE","6/171","100/17872",0.000398612952633359,0.0166010570861422,0.0141016016679789,"VAMP8/HIF1A/GRN/PYCARD/CD36/RPS19",6
"GOBP_REGULATION_OF_PHAGOCYTOSIS","GOBP_REGULATION_OF_PHAGOCYTOSIS","GOBP_REGULATION_OF_PHAGOCYTOSIS","6/171","100/17872",0.000398612952633359,0.0166010570861422,0.0141016016679789,"CYBA/RACK1/PYCARD/FCER1G/FCN1/CD36",6
"GOBP_ACTIN_FILAMENT_SEVERING","GOBP_ACTIN_FILAMENT_SEVERING","GOBP_ACTIN_FILAMENT_SEVERING","3/171","16/17872",0.000439769936189837,0.0176239876314568,0.0149705197741684,"GMFG/CFL1/CAPG",3
"GOBP_SEQUESTERING_OF_METAL_ION","GOBP_SEQUESTERING_OF_METAL_ION","GOBP_SEQUESTERING_OF_METAL_ION","3/171","16/17872",0.000439769936189837,0.0176239876314568,0.0149705197741684,"FTL/S100A9/S100A8",3
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","6/171","103/17872",0.000467001836874009,0.0183687389170443,0.015603141294387,"VAMP8/ACTB/RACK1/TMEM59/EZR/STX3",6
"GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","12/171","401/17872",0.000493003068954994,0.0187975990127559,0.015967432207287,"TMSB4X/TMSB10/PFN1/RPS3/RACK1/APOE/PYCARD/HSPA8/HSP90AA1/CD36/ARPC2/CAPG",12
"GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","7/171","145/17872",0.000495605247040646,0.0187975990127559,0.015967432207287,"VAMP8/GRN/PYCARD/S100A9/LGALS1/S100A8/RPS19",7
"GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","10/171","291/17872",0.000505677334355118,0.0188431343538644,0.016006111746716,"TYROBP/VAMP8/GRN/RPS6/PYCARD/ITGB2/FCER1G/LGALS1/STXBP2/MALT1",10
"GOBP_RESPONSE_TO_HYDROPEROXIDE","GOBP_RESPONSE_TO_HYDROPEROXIDE","GOBP_RESPONSE_TO_HYDROPEROXIDE","3/171","17/17872",0.000530262139586095,0.0193665610372081,0.0164507313003145,"GPX1/AIF1/CD36",3
"GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","7/171","147/17872",0.000537960028811336,0.0193665610372081,0.0164507313003145,"CYBA/TYROBP/HIF1A/TSPO/ITGB2/CD36/GSTP1",7
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","11/171","350/17872",0.000564564961824621,0.0199855996485916,0.0169765674485509,"CYBA/TYROBP/GRN/APOE/PYCARD/HSP90AA1/FCN1/CD36/CARD16/MNDA/RPS19",11
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","8/171","195/17872",0.000587677557251495,0.0202606783893989,0.0172102303297798,"PFN1/RPS3/RACK1/PYCARD/HSP90AA1/CD36/ARPC2/CAPG",8
"GOBP_POSITIVE_REGULATION_OF_PHAGOCYTOSIS","GOBP_POSITIVE_REGULATION_OF_PHAGOCYTOSIS","GOBP_POSITIVE_REGULATION_OF_PHAGOCYTOSIS","5/171","71/17872",0.000591413399313904,0.0202606783893989,0.0172102303297798,"CYBA/PYCARD/FCER1G/FCN1/CD36",5
"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION","8/171","196/17872",0.000607779034506382,0.0204908360205009,0.017405735424293,"TMSB4X/TMSB10/PFN1/AIF1/PYCARD/CFL1/ARPC2/CAPG",8
"GOBP_SUPEROXIDE_METABOLIC_PROCESS","GOBP_SUPEROXIDE_METABOLIC_PROCESS","GOBP_SUPEROXIDE_METABOLIC_PROCESS","5/171","72/17872",0.000630689255017764,0.020930999650902,0.0177796280115205,"CYBA/TYROBP/ITGB2/CD36/GSTP1",5
"GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR","GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR","GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR","9/171","248/17872",0.000653869521767943,0.0213664440651555,0.0181495119078584,"TMSB4X/CYBA/RPS3/PYCARD/TXNDC17/CD14/MAP4K3/CARD16/GSTP1",9
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","5/171","73/17872",0.000671887628813776,0.0216225655090979,0.018367071703139,"TYROBP/PYCARD/CD36/MNDA/MALT1",5
"GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION","GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION","GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION","8/171","200/17872",0.00069382000076469,0.0219951295764806,0.0186835425186281,"TMSB4X/TMSB10/PFN1/RPS3/PYCARD/HSP90AA1/ARPC2/CAPG",8
"GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","7/171","154/17872",0.0007094042592719,0.0221584506866693,0.0188222739998767,"RPS3/PYCARD/S100A9/S100A8/CD36/CARD16/MALT1",7
"GOBP_PHAGOCYTOSIS","GOBP_PHAGOCYTOSIS","GOBP_PHAGOCYTOSIS","10/171","305/17872",0.0007270187831048,0.022329959139994,0.0189679601377489,"CYBA/TYROBP/AIF1/RACK1/PYCARD/ITGB2/FCER1G/CD14/FCN1/CD36",10
"GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","4/171","43/17872",0.000746434604020515,0.022329959139994,0.0189679601377489,"DDAH2/AIF1/HSP90AA1/CD36",4
"GOBP_SUPEROXIDE_ANION_GENERATION","GOBP_SUPEROXIDE_ANION_GENERATION","GOBP_SUPEROXIDE_ANION_GENERATION","4/171","43/17872",0.000746434604020515,0.022329959139994,0.0189679601377489,"CYBA/TYROBP/ITGB2/GSTP1",4
"GOBP_RECEPTOR_INTERNALIZATION","GOBP_RECEPTOR_INTERNALIZATION","GOBP_RECEPTOR_INTERNALIZATION","6/171","114/17872",0.000799078986991926,0.0235728301162618,0.0200237044401193,"CD63/ITGB2/FCER1G/CD36/EZR/CD9",6
